ID,Authors,Title
271,Ting-Wei LIAO and Hsiang-An WANG,Recognition of Components in Taoist Charm Images
273,"['Adarsh Tiwari', 'Sanket Biswas', 'Josep Lladós']",SketchGPT: Autoregressive Modeling for Sketch Generation and Recognition
274,"['Qidi Luo', 'Hiba Maryam', 'Shafayet', 'Ling Fu', 'Xiang Bai', 'Jiajun Song', 'Tajrian', 'Yuliang Liu']",Dataset and Benchmark for Urdu Natural Scenes Text Detection Recognition and Visual Question Answering
275,"['Jan Hajič', 'Pavel Pecina', 'Jiří Mayer', 'Milan Straka']",Practical End-to-End Optical Music Recognition for Pianoform Music
284,"['Christopher Kermorvant', 'Manon Blanco', 'Eva Bardou', 'Bastien Abadie']",Callico: a Versatile Open-Source Document Image Annotation Platform
285,"['Nauman Riaz', 'Andreas Dengel', 'Sheraz Ahmed', 'Saifullah Saifullah', 'Stefan Agne']",StylusAI: Stylistic Adaptation for Robust German Handwritten Text Generation
289,"['Sanket Biswas', 'Carlos Boned', 'Nil Biescas', 'Josep Lladós']",GeoContrastNet: Contrastive Key-Value Edge Learning for Language-Agnostic Document Understanding
291,"['George Retsinas', 'Giorgos Sfikas', 'Konstantina Nikolaidou']",Enhancing CRNN HTR Architectures with Transformer Blocks
296,"['Umapada Pal', 'Sanket Biswas', 'Ayan Banerjee', 'Josep Lladós']",GraphKD: Exploring Knowledge Distillation Towards Document Object Detection with Structured Graph Creation
316,"['Dimosthenis Karatzas', 'Khanh Nguyen']",Federated Document Visual Question Answering: A Pilot Study
318,"['Anna Scius - Bertrand', 'Daniel Ribeiro Cabral', 'Atefeh Fakhari', 'Lars Vögtlin', 'Andreas Fischer']",Are Layout Analysis and OCR Still Useful for Document Information Extraction using Foundation Models
323,"['D', 'Max G ’ Sell', 'Samuel V. Lemley', 'Christopher N', 'Kartik Goyal', 'Warren', 'J. Schuldt', 'Nikolai Vogler', 'Taylor Berg - Kirkpatrick']",Clustering Running Titles to Understand the Printing of Early Modern Books
C01,"['Zhifei Zhang', 'Xudong Xie', 'Linger Deng', 'Zhaowen Wang', 'Yuliang Liu']",ICDAR  Competition on Artistic Text Recognition
C02,"['Emanuela Colombi', 'Silvia Zottin', 'Claudio Piciarelli', 'Gian Luca Foresti', 'Axel De Nardin']",ICDAR  Competition on Few-Shot and Many-Shot Layout Segmentation of Ancient Manuscripts SAM
C03,"['Beáta Megyesi', 'Nils Kopal', 'Michelle Waldispühl', 'George Lasry', 'Pau Torras Carles Badal', 'Jialuo Chen', 'Alicia Fornés']",ICDAR  Competition on Handwriting Recognition of Historical Ciphers
C04,"['Kléberson F. Alves', 'V. Rocha', 'Alejandro H. Toselli', 'Macileide F. Oliveira', 'Sávio S. Araújo', 'Hugo J', 'F. Hazin', 'Byron L', 'S. Neto', 'Arthur F', 'Pedro H', 'S. Souza', 'Wiliane M', 'Samara V', 'S. Lins', 'D. Bezerra', 'A']",ICDAR  Competition on Handwritten Text Recognition in Brazilian Essays  BRESSAY
C05,"['Julien Perret', 'Yijun Lin', 'Yao - Yi Chiang', 'Zekun Li', 'Joseph Chazalon', 'Nathalie Abadie', 'Solenn Tual', 'Jerod Weinman', 'Bertrand Duménieu']",ICDAR  Competition on Historical Map Text Detection Recognition and Linking
C06,"['Janne van der Loop', 'Fei Wu', 'Vincent Christlein', 'Florian Kordon', 'Dalia Rodríguez - Salas', 'Nikolaus Weichselbaumer', 'Martin Mayr', 'Mathias Seuret']",ICDAR  Competition on Multi Font Group Recognition and OCR
C07,"['Jiefeng Ma', 'Baocai Yin', 'Hao Wu', 'Jinshui Hu', 'Hanbo Cheng', 'Mingjun Chen', 'Changpeng Pi', 'Zhenrong Zhang', 'Cong Liu', 'Pengfei Hu', 'Chenyu Liu', 'Bing Yin', 'Jun Du', 'Qikai Chang']",ICDAR  Competition on Recognition of Chemical Structures
C08,"['Ajoy Mondal', 'Soumya Shamarao Jahagirdar', 'Yuheng ( Carl ) Ren', 'C', 'V. Jawahar', 'Omkar M Parkhi']",ICDAR  Competition on Reading Documents Through Aria Glasses
C09,"['Ajoy Mondal', 'C', 'V', 'R. Manmatha', 'Jawahar', 'Vijay Mahadevan']",ICDAR  Competition on Recognition and VQA on Handwritten Documents
